sample,TCGA-OL-A66H-01,TCGA-3C-AALK-01,TCGA-AR-A1AH-01,TCGA-AC-A5EH-01,TCGA-EW-A2FW-01,TCGA-E9-A1R0-01,TCGA-BH-A0BL-01,TCGA-AR-A1AJ-01,TCGA-A7-A13G-01,TCGA-AC-A62Y-01,TCGA-E9-A1QZ-01,TCGA-E9-A1R2-01,TCGA-GM-A2DK-01,TCGA-AR-A255-01,TCGA-E2-A15T-01,TCGA-AO-A1KQ-01,TCGA-E9-A1N4-11,TCGA-C8-A1HL-01,TCGA-D8-A1JD-01,TCGA-D8-A1XA-01,TCGA-E9-A5FL-01,TCGA-BH-A1F2-11,TCGA-A7-A3RF-01,TCGA-A7-A3IY-01,TCGA-GM-A2D9-01,TCGA-D8-A3Z5-01,TCGA-E9-A1ND-01,TCGA-EW-A1P5-01,TCGA-E9-A1RD-01,TCGA-AR-A250-01,TCGA-E2-A153-11,TCGA-AR-A1AQ-01,TCGA-LD-A66U-01,TCGA-BH-A1EN-01,TCGA-AO-A1KO-01,TCGA-BH-A0AU-11,TCGA-E9-A1N5-01,TCGA-D8-A1J8-01,TCGA-BH-A0DL-11,TCGA-E9-A3QA-01,TCGA-BH-A18J-11,TCGA-BH-A2L8-01,TCGA-A2-A3XX-01,TCGA-AC-A2FB-01,TCGA-E9-A3X8-01,TCGA-GM-A2DC-01,TCGA-AR-A24N-01,TCGA-E2-A1B0-01,TCGA-EW-A1IW-01,TCGA-EW-A6S9-01,TCGA-E9-A1N3-01,TCGA-GM-A2DN-01,TCGA-BH-A0BQ-11,TCGA-BH-A0DO-11,TCGA-A2-A3XT-01,TCGA-A7-A4SE-01,TCGA-BH-A0DT-01,TCGA-AC-A6IV-01,TCGA-Z7-A8R5-01,TCGA-AR-A2LJ-01,TCGA-AQ-A1H3-01,TCGA-B6-A1KI-01,TCGA-BH-A1EW-01,TCGA-BH-A1FG-01,TCGA-AR-A0TS-01,TCGA-AR-A1AT-01,TCGA-A2-A1G1-01,TCGA-BH-A18R-01,TCGA-D8-A27P-01,TCGA-EW-A2FS-01,TCGA-E2-A1IL-01,TCGA-A7-A3IZ-01,TCGA-E2-A570-01,TCGA-OL-A66J-01,TCGA-AR-A2LO-01,TCGA-BH-A1FC-11,TCGA-A2-A04W-01,TCGA-BH-A201-01,TCGA-LL-A5YM-01
MIMAT0019868,0.2381,,,,0.1951,,,0.4831,0.537604087054,,0.1953,,,,,,,,,,,0.4671,,,,,,,,,,,0.1897,,,,,,,0.2659,,,,,,,0.4151,,,,,,,,,,,,,,,,,,,,,,0.1536,0.8268203780329999,,,,,,,,,
MIMAT0019869,,0.2117,,,0.1951,0.6706,,,,0.535972332705,0.1953,,0.1505,0.3557,,,,,,,,,0.2774,,0.1523,,,,,,,,,,,,,,,,1.0661,,,0.2858,,,,,,,,,,1.21846261988,,,,0.1694,,0.2045,0.2478,,,,,,,,,,,,0.1206,,0.182060066004,0.7432,,,
MIMAT0019860,,,,,,,0.4029999999999999,0.4831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4904,,,,,,0.2097,,,,0.2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0019862,,,,,0.1951,,,,,,0.3672,,,,,,,,,,,,,,,,0.5772,,,,,,,,,,,,,0.2659,,0.4978,,0.285862557945,,0.2097,,0.985632375023,,,,0.4344,,,0.4158,,0.3674,,,0.2045,,,,,,,,,,,,,,,0.0939,,,,
MIMAT0019863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0019864,,,0.5737,,0.1951,,,0.4831,,,0.3672865683219999,0.4951,0.1505,0.1888,0.3233,,0.1721,,,,,,,0.4279,,,,,,0.4459,,,,,,,,,,,,,0.916779640336,,,0.392751940756,,,,,,,,,,0.726812189171,0.3674,0.1694,0.351627334433,0.2045,0.2478,,,,,,,,0.1536,0.471798152594,0.364267281862,0.2654,,,0.0939,,,,0.382053888482
MIMAT0019865,,0.3963,0.9831,0.2333,0.3669315014,,0.4029999999999999,0.4831,,0.2016,0.65975315877,0.4951,0.1505,0.764730048848,,0.7877,,0.5552,0.2861,1.16630795449,0.5025,,0.7101376023379999,1.02570192791,,,1.30789290406,,,0.4459,0.8697,,,,0.736745589029,0.6512,,,0.3067,0.6845,,0.6943683370620001,0.916723426451,0.15,0.5856738416089999,0.555124850517,0.7371,0.5754,,0.3939,0.2182,,,,,,0.3674,0.1694,0.1865,,0.953647425613,,,,0.6762,,,,0.292408770191,0.2551,0.1936,0.2654,0.1206,1.0190673335200002,0.265141698783,,,0.4489,0.7719195733040001
MIMAT0019866,,,,,0.3669315014,,,,,,0.3672,,,,0.3233,,,,0.2861,,,,,,,,0.5772,,,,,0.9345,,,,,,,,,,,,0.2858,0.1377,,,,,0.2103,,0.4344,,,,,0.3674,,,0.3836,0.4592113610639999,,0.4416,0.7094,,,,,,,0.1936,,0.1206,,,,0.6284,0.4489,
MIMAT0019867,0.2381,0.2117,,,0.1951,0.670570513563,,,,0.3784,0.1953,,0.2867,,0.810293122934,1.29433560936,,,,,0.5025,,0.71019564251,,0.1523,0.3214,,,0.3699,,0.4994,,0.1897,,0.4149,,,0.4225,,0.2659,,0.2703,,,0.1377,0.2097,0.4151,,,0.7029496733249999,,,,,,,0.3674,0.1694,0.1865,,,,,,,,,,0.419026456296,0.2551,0.364267281862,0.68338904773,,,0.0939,,,,0.382053888482
MIMAT0027483,,,,,0.1951,,0.4029999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
